timestamp,session_id,mode,question_number,domain,objective,difficulty,format,correct,confidence,error_type,due_date,notes
2026-09-13T19:17:38.045377+00:00,baseline-2026-09-13-01,baseline,1,Identities and governance,RBAC role and scope,1,single choice,true,,none,2026-09-16,Answered C correctly; no reasoning or confidence supplied; recognition evidence only; revisit with explanation.
2026-09-13T19:31:59.910080+00:00,baseline-2026-09-13-01,baseline,2,Storage,Zonal redundancy and regional residency,1,single choice,true,,none,2026-09-16,Answered B correctly; reasoning and confidence not supplied; recognition evidence only.
2026-09-13T19:32:50.808710+00:00,baseline-2026-09-13-01,baseline,3,Compute,VM deallocation and compute billing,1,single choice,true,,none,2026-09-16,Answered A after simplified prompt explicitly stated still allocated; limited recognition evidence; confidence not supplied.
2026-09-13T20:05:20.401893+00:00,baseline-2026-09-13-01,baseline,4,Virtual networking,NSG rule priority,1,single choice,true,,none,2026-09-16,Answered B correctly; recognition only; confidence not supplied.
2026-09-13T20:05:56.415924+00:00,baseline-2026-09-13-01,baseline,5,Monitoring and maintenance,Activity Log management operations,1,single choice,true,,none,2026-09-16,Answered C correctly; recognition only; confidence not supplied.
2026-09-13T20:12:48.667568+00:00,baseline-2026-09-13-01,baseline,6,Identities and governance,RBAC additive permissions and inheritance,2,single choice,false,,scope or permissions,2026-09-14,Answered B; correct A; Reader does not restrict inherited Contributor. Retest with changed scenario in-session; confidence unknown.
2026-09-13T20:27:45.415202+00:00,baseline-2026-09-13-01,baseline,7,Storage,Secondary-region reads before failover,1,single choice,true,,none,2026-09-16,Answered B correctly; recognition only; confidence not supplied.
2026-09-13T21:15:43.380560+00:00,baseline-2026-09-13-01,baseline,8,Compute,VM availability zones,1,single choice,true,,none,2026-09-16,Answered C correctly; recognition only; confidence not supplied.
2026-09-13T21:32:36.425104+00:00,baseline-2026-09-13-01,baseline,9,Identities and governance,RBAC additive permissions repair,2,single choice,false,,scope or permissions,2026-09-14,Answered B; correct A. Second related error: direct Reader believed to override inherited Contributor. Confidence unknown. Teach smallest concept then fresh transfer.
2026-09-13T21:33:47.943120+00:00,baseline-2026-09-13-01,baseline,10,Identities and governance,RBAC additive permissions taught transfer,1,single choice,false,,scope or permissions,2026-09-14,Answered A after teaching; correct B. Third related error. Reader does not remove VM Contributor permissions. Pause baseline for unscored minimal teach-back. Confidence unknown.
2026-09-15T18:11:29.038105+00:00,baseline-2026-09-13-01,weak-domain repair,10-R1,Identities and governance,RBAC additive permissions,1,true false,false,,scope or permissions,2026-09-16,Interpreted ture as true. Unscored repair incorrect; correct false. Negative wording may contribute; next check uses positive wording. Baseline remains 7/10.
2026-09-15T18:12:20.706306+00:00,baseline-2026-09-13-01,weak-domain repair,10-R2,Identities and governance,RBAC additive permissions,1,yes no,true,,none,2026-09-16,Answered yes correctly after explicit teaching and positive wording. Coached repair only; baseline remains 7/10. Delayed unprompted transfer still due.
2026-09-15T18:13:09.412525+00:00,baseline-2026-09-13-01,baseline,11,Virtual networking,Combined subnet and NIC NSG evaluation,2,single choice,true,,none,2026-09-18,Answered B correctly; no reasoning or confidence supplied.
